t_video_s,timestamp,evento,persona_id,entradas,salidas,aforo
2.4,2026-09-19T10:14:09,SALIDA,2,0,1,-1
6.0,2026-09-19T10:14:11,ENTRADA,3,1,1,0
11.3,2026-09-19T10:14:14,ENTRADA,4,2,1,1
18.0,2026-09-19T10:14:18,ENTRADA,9,3,1,2
22.0,2026-09-19T10:14:20,ENTRADA,15,4,1,3
25.2,2026-09-19T10:14:22,ENTRADA,11,5,1,4
28.8,2026-09-19T10:14:24,ENTRADA,16,6,1,5
2.4,2026-09-19T10:19:38,SALIDA,2,0,1,-1
6.0,2026-09-19T10:19:39,ENTRADA,3,1,1,0
18.0,2026-09-19T10:19:50,ENTRADA,10,2,1,1
22.0,2026-09-19T10:19:54,ENTRADA,15,3,1,2
25.2,2026-09-19T10:19:57,ENTRADA,12,4,1,3
27.8,2026-09-19T10:19:59,ENTRADA,11,5,1,4
28.8,2026-09-19T10:20:00,ENTRADA,16,6,1,5
