t_video_s,timestamp,visibles,aforo
0.1,2026-09-19T10:14:07,3,0
1.1,2026-09-19T10:14:08,4,0
2.1,2026-09-19T10:14:09,4,0
3.1,2026-09-19T10:14:09,3,-1
4.1,2026-09-19T10:14:10,6,-1
5.1,2026-09-19T10:14:10,5,-1
6.1,2026-09-19T10:14:11,6,0
7.1,2026-09-19T10:14:12,5,0
8.2,2026-09-19T10:14:12,6,0
9.2,2026-09-19T10:14:13,6,0
10.2,2026-09-19T10:14:13,6,0
11.2,2026-09-19T10:14:14,6,0
12.2,2026-09-19T10:14:15,7,1
13.2,2026-09-19T10:14:15,8,1
14.2,2026-09-19T10:14:16,8,1
15.2,2026-09-19T10:14:16,7,1
16.3,2026-09-19T10:14:17,6,1
17.3,2026-09-19T10:14:18,7,1
18.3,2026-09-19T10:14:18,7,2
19.3,2026-09-19T10:14:19,7,2
20.3,2026-09-19T10:14:19,7,2
21.3,2026-09-19T10:14:20,5,2
22.3,2026-09-19T10:14:21,6,3
23.3,2026-09-19T10:14:21,7,3
24.3,2026-09-19T10:14:22,7,3
25.3,2026-09-19T10:14:22,7,4
26.3,2026-09-19T10:14:23,7,4
27.3,2026-09-19T10:14:24,7,4
28.3,2026-09-19T10:14:24,7,4
29.3,2026-09-19T10:14:25,6,5
30.3,2026-09-19T10:14:25,5,5
31.3,2026-09-19T10:14:26,6,5
32.3,2026-09-19T10:14:26,6,5
33.3,2026-09-19T10:14:27,6,5
34.3,2026-09-19T10:14:28,6,5
35.3,2026-09-19T10:14:28,5,5
36.3,2026-09-19T10:14:29,6,5
37.3,2026-09-19T10:14:29,5,5
38.3,2026-09-19T10:14:30,4,5
39.3,2026-09-19T10:14:30,4,5
0.1,2026-09-19T10:19:36,3,0
1.1,2026-09-19T10:19:37,4,0
2.1,2026-09-19T10:19:38,4,0
3.1,2026-09-19T10:19:38,3,-1
4.1,2026-09-19T10:19:39,6,-1
5.1,2026-09-19T10:19:39,5,-1
6.1,2026-09-19T10:19:39,6,0
7.1,2026-09-19T10:19:40,5,0
8.2,2026-09-19T10:19:40,6,0
9.2,2026-09-19T10:19:41,6,0
10.2,2026-09-19T10:19:42,6,0
11.2,2026-09-19T10:19:43,6,0
12.2,2026-09-19T10:19:44,7,0
13.2,2026-09-19T10:19:45,8,0
14.2,2026-09-19T10:19:46,8,0
15.2,2026-09-19T10:19:47,7,0
16.3,2026-09-19T10:19:48,6,0
17.3,2026-09-19T10:19:49,7,0
18.3,2026-09-19T10:19:50,7,1
19.3,2026-09-19T10:19:51,7,1
20.3,2026-09-19T10:19:52,7,1
21.3,2026-09-19T10:19:53,5,1
22.3,2026-09-19T10:19:54,6,2
23.3,2026-09-19T10:19:55,7,2
24.3,2026-09-19T10:19:56,7,2
25.3,2026-09-19T10:19:57,7,3
26.3,2026-09-19T10:19:58,7,3
27.3,2026-09-19T10:19:59,7,3
28.3,2026-09-19T10:20:00,7,4
29.3,2026-09-19T10:20:01,6,5
30.3,2026-09-19T10:20:02,5,5
31.3,2026-09-19T10:20:03,6,5
32.3,2026-09-19T10:20:04,6,5
33.3,2026-09-19T10:20:05,6,5
34.3,2026-09-19T10:20:06,6,5
35.3,2026-09-19T10:20:07,5,5
36.3,2026-09-19T10:20:08,6,5
37.3,2026-09-19T10:20:09,5,5
38.3,2026-09-19T10:20:10,4,5
39.3,2026-09-19T10:20:11,4,5
