t_video_s,timestamp,estacion,nivel_m,caudal_m3s,tendencia_m_h,riesgo,confianza
3.0,2026-09-19T10:07:01,02,1.104,1.957,0.0,NORMAL,0.0
5.0,2026-09-19T10:07:02,02,1.255,2.44,267.927,VIGILANCIA,0.787
7.0,2026-09-19T10:07:02,02,1.414,2.984,281.463,VIGILANCIA,0.793
9.0,2026-09-19T10:07:03,02,1.566,3.538,273.806,VIGILANCIA,0.803
11.0,2026-09-19T10:07:04,02,1.711,4.095,271.98,VIGILANCIA,0.809
13.0,2026-09-19T10:07:04,02,1.864,4.714,268.157,ALERTA,0.813
15.0,2026-09-19T10:07:05,02,2.015,5.347,271.429,ALERTA,0.818
17.0,2026-09-19T10:07:06,02,2.166,6.009,269.871,ALERTA,0.812
19.0,2026-09-19T10:07:06,02,2.317,6.699,271.991,ALERTA,0.818
21.0,2026-09-19T10:07:07,02,2.461,7.378,271.122,ALERTA,0.815
23.0,2026-09-19T10:07:07,02,2.614,8.124,271.392,DESBORDE CRITICO,0.817
25.0,2026-09-19T10:07:08,02,2.769,8.899,268.922,DESBORDE CRITICO,0.818
27.0,2026-09-19T10:07:09,02,2.918,9.67,269.305,DESBORDE CRITICO,0.815
29.0,2026-09-19T10:07:09,02,3.068,10.468,270.691,DESBORDE CRITICO,0.817
31.0,2026-09-19T10:07:10,02,3.218,11.287,270.87,DESBORDE CRITICO,0.815
33.0,2026-09-19T10:07:11,02,3.364,12.101,271.598,DESBORDE CRITICO,0.815
35.0,2026-09-19T10:07:12,02,3.507,12.914,267.555,DESBORDE CRITICO,0.814
37.0,2026-09-19T10:07:14,02,3.657,13.79,268.651,DESBORDE CRITICO,0.817
39.0,2026-09-19T10:07:16,02,3.812,14.714,267.884,DESBORDE CRITICO,0.814
3.0,2026-09-19T10:20:17,02,1.104,1.958,0.0,NORMAL,0.0
5.0,2026-09-19T10:20:19,02,1.255,2.44,267.829,VIGILANCIA,0.795
7.0,2026-09-19T10:20:21,02,1.414,2.983,280.503,VIGILANCIA,0.802
9.0,2026-09-19T10:20:23,02,1.566,3.538,273.486,VIGILANCIA,0.813
11.0,2026-09-19T10:20:25,02,1.711,4.095,271.454,VIGILANCIA,0.819
13.0,2026-09-19T10:20:27,02,1.864,4.714,267.904,ALERTA,0.824
15.0,2026-09-19T10:20:29,02,2.014,5.344,271.387,ALERTA,0.83
17.0,2026-09-19T10:20:31,02,2.166,6.009,270.154,ALERTA,0.824
19.0,2026-09-19T10:20:33,02,2.317,6.699,271.811,ALERTA,0.829
21.0,2026-09-19T10:20:35,02,2.463,7.387,271.427,ALERTA,0.829
23.0,2026-09-19T10:20:37,02,2.618,8.142,272.186,DESBORDE CRITICO,0.83
25.0,2026-09-19T10:20:39,02,2.763,8.869,268.565,DESBORDE CRITICO,0.831
27.0,2026-09-19T10:20:41,02,2.918,9.67,268.179,DESBORDE CRITICO,0.828
29.0,2026-09-19T10:20:43,02,3.068,10.468,270.366,DESBORDE CRITICO,0.831
31.0,2026-09-19T10:20:45,02,3.218,11.287,272.097,DESBORDE CRITICO,0.829
33.0,2026-09-19T10:20:47,02,3.364,12.101,272.409,DESBORDE CRITICO,0.828
35.0,2026-09-19T10:20:49,02,3.507,12.914,266.815,DESBORDE CRITICO,0.827
37.0,2026-09-19T10:20:51,02,3.657,13.79,267.945,DESBORDE CRITICO,0.828
39.0,2026-09-19T10:20:53,02,3.812,14.714,267.884,DESBORDE CRITICO,0.827
